,CASE NUMBER,SR LOCATION,COUNTY,NEIGHBORHOOD,SR CREATE DATE,LONGITUDE,LATITUDE,geometry,In_100_Year,In_500_Year,Distance(m)
42,11844883-101001626860,Intersection 2800 BENNINGTON ST&6900 JENSEN DR,Harris County,EASTEX - JENSEN AREA,2015-01-15 07:37:57,-95.34255,29.821892,POINT (-95.34255218505859 29.82189178466797),False,False,1.0922064711792725
43,11844940-101001627045,Intersection 4300 CARNELIAN DR&11600 HIGH STAR DR,Harris County,ALIEF,2015-01-15 09:48:09,-95.583374,29.711481,POINT (-95.5833740234375 29.71148109436035),True,False,0.7938652958493249
44,11845648-101001628944,"5827 WILLOW GLEN, HOUSTON TX 77033",Harris,SOUTH PARK,2015-01-16 16:48:06,-95.33351,29.669828,POINT (-95.33351135253906 29.66982841491699),False,False,1.2578139285688774
45,11845676-101001628998,"3431 ASHTON PARK, HOUSTON TX 77082",HARRIS,ELDRIDGE / WEST OAKS,2015-01-16 17:32:17,-95.607,29.72443,POINT (-95.60700225830078 29.72443008422852),True,False,0.25079830935257125
46,11846093-101001629779,"1701 SPRING, HOUSTON TX 77007",Harris,WASHINGTON AVENUE COALITION / MEMORIAL P,2015-01-18 09:20:27,-95.37495,29.774965,POINT (-95.37494659423828 29.77496528625488),False,False,0.38683463192791534
47,11846801-101001631499,Intersection 7550 ST LO RD&5500 VAN FLEET ST,Harris County,SOUTH PARK,2015-01-20 14:25:02,-95.33948,29.67432,POINT (-95.3394775390625 29.67432022094727),False,False,1.4445992946249189
48,11847854-101001634347,"1302 MILFORD, HOUSTON TX 77006",Harris,UNIVERSITY PLACE,2015-01-22 13:10:57,-95.39485,29.729494,POINT (-95.39485168457031 29.72949409484863),False,False,1.2866774612760017
49,11847870-101001634387,"501 WELLINGTON, HOUSTON TX 77076",HARRIS,NORTHSIDE/NORTHLINE,2015-01-22 13:37:54,-95.39358,29.857895,POINT (-95.39357757568359 29.85789489746094),False,False,1.2234844219375092
50,11847878-101001634400,"2301 BRANARD, HOUSTON TX 77098",HARRIS,GREENWAY / UPPER KIRBY AREA,2015-01-22 13:45:48,-95.41517,29.736818,POINT (-95.41516876220703 29.73681831359863),False,False,1.8302803280697888
51,11847953-101001634626,"5301 POLK, HOUSTON TX 77023",Harris,GREATER EASTWOOD,2015-01-22 15:28:25,-95.31894,29.734285,POINT (-95.31893920898438 29.73428535461426),False,False,0.2907042437460546
52,11847963-101001634660,"2200 N SHEPHERD, HOUSTON TX 77008",HARRIS,GREATER HEIGHTS,2015-01-22 15:40:07,-95.410065,29.806103,POINT (-95.41006469726562 29.80610275268555),False,False,1.1386222386876281
53,11848135-101001634697,"4303 RICHMEADOW, HOUSTON TX 77048",HARRIS,SOUTH ACRES / CRESTMONT PARK,2015-01-22 16:00:28,-95.350266,29.620014,POINT (-95.35026550292969 29.62001419067383),False,False,1.128427640653217
54,11847976-101001634716,"4231 RICHMEADOW, HOUSTON TX 77048",HARRIS,SOUTH ACRES / CRESTMONT PARK,2015-01-22 16:08:52,-95.35076,29.62,POINT (-95.35076141357422 29.6200008392334),False,False,1.1080685473981444
55,11847994-101001634780,"3530 GRIGGS, HOUSTON TX 77021",HARRIS,MACGREGOR,2015-01-22 16:35:00,-95.36425,29.706226,POINT (-95.36425018310547 29.70622634887695),False,True,1.2388439856068616
56,11848011-101001634819,"7227 FONDREN, HOUSTON TX 77036",HARRIS,SHARPSTOWN,2015-01-22 17:03:46,-95.51882,29.701664,POINT (-95.51882171630859 29.70166397094727),False,False,0.8712290685108338
57,11848014-101001634825,Intersection 3000 HOUSTON AVE&100 NORTH ST,Harris County,GREATER HEIGHTS,2015-01-22 17:06:52,-95.37211,29.785137,POINT (-95.37210845947266 29.78513717651367),False,False,0.2336311074804396
58,11848029-101001634856,Intersection 2400 ELYSIAN ST&1800 QUITMAN ST,Harris County,NEAR NORTHSIDE,2015-01-22 17:24:24,-95.3506,29.783375,POINT (-95.35060119628906 29.78337478637695),False,False,1.0485835110353003
59,11848068-101001634961,Intersection 700 FRANKLIN ST&200 LOUISIANA ST,Harris County,DOWNTOWN,2015-01-22 18:51:30,-95.36273,29.764578,POINT (-95.36273193359375 29.76457786560059),True,False,0.8453760354164773
60,11848071-101001634972,"4326 RICHMEADOW, HOUSTON TX 77048",HARRIS,SOUTH ACRES / CRESTMONT PARK,2015-01-22 19:20:30,-95.34947,29.61966,POINT (-95.34947204589844 29.61965942382812),False,False,1.1796976749334316
61,11848199-101001635344,"4219 RICHMEADOW, HOUSTON TX 77048",HARRIS,SOUTH ACRES / CRESTMONT PARK,2015-01-23 09:51:02,-95.351135,29.61999,POINT (-95.35113525390625 29.6199893951416),False,False,1.0930768693245732
62,11848352-101001635932,"5032 RUSK, HOUSTON TX 77023",HARRIS,GREATER EASTWOOD,2015-01-23 14:52:01,-95.32318,29.738848,POINT (-95.32318115234375 29.73884773254395),False,False,0.6401816640564783
63,11848354-101001635938,"6640 LAWNDALE, HOUSTON TX 77023",HARRIS,LAWNDALE / WAYSIDE,2015-01-23 14:54:51,-95.30963,29.72395,POINT (-95.30963134765625 29.72394943237305),False,False,0.5392570681090415
64,11848597-101001636540,"11727 BAY CEDAR, HOUSTON TX 77048",HARRIS,SOUTH ACRES / CRESTMONT PARK,2015-01-24 11:55:26,-95.35015,29.633366,POINT (-95.35015106201172 29.63336563110352),False,False,0.32897607602046813
65,11849029-101001637509,"7106 JAPONICA, HOUSTON TX 77087",Harris,PECAN PARK,2015-01-26 09:41:18,-95.292046,29.709873,POINT (-95.29204559326172 29.70987319946289),False,False,0.5952804591577786
66,11849381-101001638415,"13401 JOLIET, HOUSTON TX 77015",HARRIS,NORTHSHORE,2015-01-26 16:20:39,-95.18655,29.783787,POINT (-95.18654632568359 29.78378677368164),False,False,0.8253603325445692
67,11849672-101001639262,"10715 OASIS, HOUSTON TX 77096",HARRIS,WESTBURY,2015-01-27 11:01:21,-95.4775,29.664057,POINT (-95.47750091552734 29.6640567779541),True,False,0.06120554044022828
68,11852089-101001645433,"9514 SIERRA, HOUSTON TX 77051",Harris,SUNNYSIDE,2015-02-02 10:17:56,-95.37481,29.653034,POINT (-95.37480926513672 29.65303421020508),False,False,0.3907574614257586
69,11853723-101001650558,"5804 CANAL, HOUSTON TX 77011",HARRIS,SECOND WARD,2015-02-06 06:41:13,-95.31577,29.744375,POINT (-95.31577301025391 29.74437522888184),False,False,0.7256476435226371
70,61901-101001662740,"3875 N TERMINAL, HOUSTON TX 77396",HARRIS,IAH / AIRPORT AREA,2015-02-17 21:00:35,-95.33101,29.987724,POINT (-95.33100891113281 29.98772430419922),False,False,1.0090112522549164
71,11860514-101001670431,"3646 DEAL, HOUSTON TX 77025",Harris,BRAESWOOD,2015-02-25 16:36:53,-95.43405,29.6895,POINT (-95.43405151367188 29.68950080871582),False,True,0.17011288365846755
72,11861866-101001674631,Intersection 9000 HAZEN ST & 7950 JORINE DR,Harris County,SHARPSTOWN,2015-03-02 15:26:29,-95.542755,29.691727,POINT (-95.54275512695312 29.69172668457031),True,False,0.22256733889358538
73,11861871-101001674638,Intersection 7600 BELLERIVE DR & 6100 MARINETTE DR,Harris County,SHARPSTOWN,2015-03-02 15:28:50,-95.51806,29.713018,POINT (-95.51805877685547 29.7130184173584),False,False,1.2917641752775515
74,11861986-101001674993,"2814 PRESCOTT, HOUSTON TX 77025",Harris,BRAESWOOD,2015-03-02 20:10:31,-95.42159,29.692972,POINT (-95.42159271240234 29.69297218322754),True,False,0.8456617155965177
75,11862706-101001677419,Intersection 7600 BELLERIVE DR & 6100 MARINETTE DR,Harris County,SHARPSTOWN,2015-03-04 15:15:51,-95.51806,29.713018,POINT (-95.51805877685547 29.7130184173584),False,False,1.2917641752775515
76,11862859-101001677880,Intersection 3800 OLD SPANISH TRL & 6000 SCOTT ST,Harris County,GREATER OST / SOUTH UNION,2015-03-05 07:45:48,-95.35944,29.702295,POINT (-95.35944366455078 29.70229530334473),False,False,1.2748502983770738
77,11862950-101001678172,Intersection 4000 LATMA DR & 9100 STELLA LINK RD,Harris County,BRAESWOOD,2015-03-05 10:14:34,-95.43999,29.684786,POINT (-95.43998718261719 29.68478584289551),True,False,0.5382481199693264
78,11862968-101001678208,Intersection 5800 CALHOUN RD & 4700 GRIGGS RD,Harris County,GREATER OST / SOUTH UNION,2015-03-05 10:34:19,-95.34567,29.700867,POINT (-95.34567260742188 29.70086669921875),False,False,0.4434950229825805
79,11863018-101001678397,"4803 JONES, HOUSTON TX 77016",Harris,TRINITY / HOUSTON GARDENS,2015-03-05 12:23:31,-95.32002,29.836592,POINT (-95.32002258300781 29.83659172058105),False,False,0.9065335248599672
80,11863101-101001678639,"5201 POLK, HOUSTON TX 77023",HARRIS,GREATER EASTWOOD,2015-03-05 14:23:04,-95.322296,29.73531,POINT (-95.32229614257812 29.73530960083008),False,False,0.49994627161176985
81,63594-101001680830,"1403 N POST OAK, HOUSTON TX 77055",HARRIS,SPRING BRANCH EAST,2015-03-08 00:50:28,-95.458046,29.794317,POINT (-95.45804595947266 29.7943172454834),False,False,1.0208281863980748
82,11863795-101001680999,"7700 WILLOWCHASE, HOUSTON TX 77070",HARRIS,WILLOWBROOK,2015-03-08 15:43:59,-95.54544,29.967648,POINT (-95.54544067382812 29.96764755249023),False,False,0.6801640783375205
83,63653-101001681036,"5134 W BELLFORT, HOUSTON TX 77096",Harris,WESTBURY,2015-03-08 17:10:26,-95.47116,29.66442,POINT (-95.47116088867188 29.66441917419434),False,True,0.3294698319232532
84,11863810-101001681039,"9219 LAKE PARK, HOUSTON TX 77078",Harris,EAST HOUSTON,2015-03-08 17:22:10,-95.261475,29.845547,POINT (-95.261474609375 29.84554672241211),False,False,0.7061975519653333
85,11863813-101001681041,Intersection 6900 NAVIGATION BLVD & 1300 SSGT MACARIO GARCIA DR,Harris County,MAGNOLIA PARK,2015-03-08 17:29:54,-95.300896,29.74446,POINT (-95.30089569091797 29.74445915222168),False,False,0.46858258326719116
86,11863837-101001681090,"4200 OLD SPANISH TRAIL, HOUSTON TX 77021",Harris,GREATER OST / SOUTH UNION,2015-03-08 23:55:36,-95.352234,29.702576,POINT (-95.35223388671875 29.70257568359375),False,False,0.854028529683809
87,11863850-101001681115,"12439 SHEPHERDS RIDGE, HOUSTON TX 77077",HARRIS,BRIAR FOREST,2015-03-09 07:06:44,-95.6005,29.755121,POINT (-95.60050201416016 29.7551212310791),False,False,0.8118381084523053
88,11863858-101001681142,"1503 TERRY, HOUSTON TX 77009",Harris,NEAR NORTHSIDE,2015-03-09 07:44:28,-95.35321,29.774681,POINT (-95.35321044921875 29.77468109130859),False,False,1.0688002223228008
89,11863859-101001681149,Intersection 306 W 6TH ST & 600 RUTLAND ST,Harris County,GREATER HEIGHTS,2015-03-09 07:50:46,-95.40099,29.781422,POINT (-95.40099334716797 29.78142166137695),False,False,0.2124016028849955
90,11863872-101001681175,Intersection 2400 MCCLENDON ST & 6600 MORNINGSIDE DR,Harris County,UNIVERSITY PLACE,2015-03-09 08:10:19,-95.414795,29.707842,POINT (-95.414794921875 29.70784187316895),False,True,0.46659532023271777
91,11863874-101001681178,Intersection 3500 BARRINGTON RD & 5500 JUDALON LN,Harris County,GREATER UPTOWN,2015-03-09 08:12:46,-95.47351,29.728113,POINT (-95.4735107421875 29.72811317443848),False,False,1.3182655826620893
92,11863877-101001681181,Intersection 5400 JUDALON LN & 3800 YORKTOWN ST,Harris County,GREATER UPTOWN,2015-03-09 08:14:39,-95.47097,29.728378,POINT (-95.47097015380859 29.72837829589844),False,False,1.3755804275877948
93,11863878-101001681183,"5614 SAXON, HOUSTON TX 77092",Harris,CENTRAL NORTHWEST,2015-03-09 08:15:08,-95.475334,29.827482,POINT (-95.47533416748047 29.82748222351074),True,False,0.5135733299268256
94,11864000-101001681560,"4431 YOAKUM, HOUSTON TX 77006",HARRIS,NEARTOWN - MONTROSE,2015-03-09 11:10:21,-95.39227,29.73315,POINT (-95.39227294921875 29.73315048217773),False,False,1.453147937313167
95,11864006-101001681585,"905 CORDELL, HOUSTON TX 77009",Harris,GREATER HEIGHTS,2015-03-09 11:20:21,-95.37493,29.799458,POINT (-95.37493133544922 29.79945755004883),False,False,0.19503911272774357
96,11864011-101001681589,"1513 QUITMAN, HOUSTON TX 77009",HARRIS,NEAR NORTHSIDE,2015-03-09 11:22:23,-95.35249,29.78356,POINT (-95.35249328613281 29.78355979919434),False,False,0.9421215241670252
97,11864013-101001681600,"4262 CHILDRESS, HOUSTON TX 77005",HARRIS,GREENWAY / UPPER KIRBY AREA,2015-03-09 11:26:30,-95.44723,29.726334,POINT (-95.44722747802734 29.72633361816406),False,False,0.252518396037174
98,11864014-101001681602,Intersection 2800 ELLA BLVD & 0 N LOOP FWY W,Harris County,GREATER HEIGHTS,2015-03-09 11:27:58,-95.42936,29.812317,POINT (-95.42935943603516 29.81231689453125),False,True,1.2619674406658836
99,11864035-101001681636,"807 HEIGHTS, HOUSTON TX 77007",HARRIS,GREATER HEIGHTS,2015-03-09 11:48:18,-95.39806,29.785742,POINT (-95.39806365966797 29.78574180603027),False,False,0.521741736428206
100,11864066-101001681715,"12519 QUEENSBURY, HOUSTON TX 77024",HARRIS,MEMORIAL,2015-03-09 12:28:46,-95.55134,29.777737,POINT (-95.55133819580078 29.77773666381836),False,False,0.6612580842707834
101,11864069-101001681723,"9223 LAKE PARK, HOUSTON TX 77078",HARRIS,EAST HOUSTON,2015-03-09 12:31:59,-95.26159,29.845657,POINT (-95.26158905029297 29.84565734863281),False,False,0.7144258992473257
102,11864136-101001681926,"6025 KANSAS, HOUSTON TX 77007",HARRIS,WASHINGTON AVENUE COALITION / MEMORIAL P,2015-03-09 14:24:11,-95.43249,29.781715,POINT (-95.43248748779297 29.78171539306641),False,False,1.0570936190442624
103,11864185-101001682094,Intersection 3520 REVEILLE ST & 7600 THUROW ST,Harris County,GOLFCREST / BELLFORT / REVEILLE,2015-03-09 15:53:59,-95.29059,29.6924,POINT (-95.29058837890625 29.6923999786377),True,False,0.5160319793341063
104,11864195-101001682122,Intersection 1700 COLQUITT ST & 4200 DUNLAVY ST,Harris County,NEARTOWN - MONTROSE,2015-03-09 16:06:25,-95.40195,29.735199,POINT (-95.40194702148438 29.73519897460938),False,False,1.8257852539506567
105,11864210-101001682174,"401 ARLINGTON, HOUSTON TX 77007",Harris,GREATER HEIGHTS,2015-03-09 16:33:45,-95.39429,29.777998,POINT (-95.394287109375 29.77799797058105),False,False,0.3562953060394646
106,11864214-101001682194,Intersection 11000 BISSONNET ST & 9600 BOONE RD,Harris County,ALIEF,2015-03-09 16:44:27,-95.57448,29.674473,POINT (-95.57447814941406 29.67447280883789),False,True,0.8177514782464587
107,11864260-101001682309,"9223 LAKE PARK, HOUSTON TX 77078",HARRIS,EAST HOUSTON,2015-03-09 20:24:43,-95.26159,29.845657,POINT (-95.26158905029297 29.84565734863281),False,False,0.7144258992473257
108,11864265-101001682318,"4326 RICHMEADOW, HOUSTON TX 77048",HARRIS,SOUTH ACRES / CRESTMONT PARK,2015-03-09 20:38:42,-95.34947,29.61966,POINT (-95.34947204589844 29.61965942382812),False,False,1.1796976749334316
109,11864392-101001682684,"12442 SHEPHERDS RIDGE, HOUSTON TX 77077",HARRIS,BRIAR FOREST,2015-03-10 09:39:54,-95.60049,29.755579,POINT (-95.60048675537109 29.75557899475098),False,False,0.8012764725693847
110,11864447-101001682914,Intersection 7644 BELLAIRE BLVD & 6800 MARINETTE DR,Harris County,SHARPSTOWN,2015-03-10 10:57:36,-95.51862,29.705193,POINT (-95.51862335205078 29.70519256591797),False,False,0.955618463940192
111,11864462-101001682953,"1904 QUITMAN, HOUSTON TX 77026",HARRIS,NEAR NORTHSIDE,2015-03-10 11:13:24,-95.34936,29.783205,POINT (-95.34935760498047 29.78320503234863),False,False,1.120808689049851
112,11864576-101001683327,Intersection 11200 ALMEDA RD & 2400 REED RD,Harris County,CENTRAL SOUTHWEST,2015-03-10 13:45:45,-95.4021,29.65754,POINT (-95.402099609375 29.65753936767578),False,False,1.121643520781983
113,11864606-101001683517,"12447 SHEPHERDS RIDGE, HOUSTON TX 77077",HARRIS,BRIAR FOREST,2015-03-10 14:58:51,-95.60095,29.755184,POINT (-95.6009521484375 29.75518417358398),False,False,0.836081905747802
114,11864687-101001683799,"4518 HOFFMAN, HOUSTON TX 77026",Harris,KASHMERE GARDENS,2015-03-10 17:05:39,-95.31264,29.801704,POINT (-95.31263732910156 29.80170440673828),True,False,0.199890709576405
115,63832-101001684064,"5623 RIDGEWAY, HOUSTON TX 77033",HARRIS,SOUTH PARK,2015-03-11 02:20:57,-95.33822,29.66967,POINT (-95.33821868896484 29.66967010498047),False,False,1.1450791830689524
116,63834-101001684066,"5303 WILLOW GLEN, HOUSTON TX 77033",HARRIS,SOUTH PARK,2015-03-11 02:21:00,-95.34303,29.671711,POINT (-95.34303283691406 29.67171096801758),False,False,1.2475660517299936
117,11865327-101001685545,"7520 TIDWELL, HOUSTON TX 77016",HARRIS,TRINITY / HOUSTON GARDENS,2015-03-12 09:23:08,-95.2942,29.847946,POINT (-95.29419708251953 29.84794616699219),False,True,0.1994135636813943
118,11865345-101001685611,"7409 WALKER, HOUSTON TX 77011",Harris,LAWNDALE / WAYSIDE,2015-03-12 09:57:19,-95.29551,29.730318,POINT (-95.29550933837891 29.73031806945801),False,False,0.7149347438502595
119,11865391-101001685828,"1335 KRESS, HOUSTON TX 77020",HARRIS,DENVER HARBOR / PORT HOUSTON,2015-03-12 11:26:59,-95.306595,29.764547,POINT (-95.30659484863281 29.76454734802246),False,False,0.6946275185254209
120,11865419-101001685933,"2131 GOLDSMITH, HOUSTON TX 77030",HARRIS,UNIVERSITY PLACE,2015-03-12 12:15:56,-95.40885,29.70996,POINT (-95.40885162353516 29.7099609375),False,True,0.6725954654806529
121,11865559-101001686530,"1217 CHIPPENDALE, HOUSTON TX 77018",HARRIS,CENTRAL NORTHWEST,2015-03-12 18:06:31,-95.43036,29.82188,POINT (-95.43035888671875 29.82188034057617),False,False,1.3571171754496234
